year,county,dem,rep,dem_v,dem_s,rep_v,rep_s
2016,6115,Hillary Clinton,Donald J. Trump,7910,34.39%,13170,57.27%
2016,8001,Hillary Clinton,Donald J. Trump,96558,49.86%,80082,41.35%
2016,8003,Hillary Clinton,Donald J. Trump,3189,45.96%,3046,43.90%
2016,8005,Hillary Clinton,Donald J. Trump,159885,52.76%,117053,38.63%
2016,8007,Hillary Clinton,Donald J. Trump,2500,34.06%,4264,58.10%
2016,8009,Hillary Clinton,Donald J. Trump,283,13.14%,1753,81.42%
2016,8011,Hillary Clinton,Donald J. Trump,590,30.62%,1188,61.65%
2016,8013,Hillary Clinton,Donald J. Trump,132334,70.34%,41396,22.00%
2016,8014,Hillary Clinton,Donald J. Trump,19731,52.35%,14367,38.12%
2016,8015,Hillary Clinton,Donald J. Trump,4888,43.45%,5391,47.92%
2016,8017,Hillary Clinton,Donald J. Trump,132,11.98%,925,83.94%
2016,8019,Hillary Clinton,Donald J. Trump,2729,46.52%,2575,43.90%
2016,8021,Hillary Clinton,Donald J. Trump,1771,44.03%,1914,47.59%
2016,8023,Hillary Clinton,Donald J. Trump,1125,60.88%,588,31.82%
2016,8025,Hillary Clinton,Donald J. Trump,339,22.20%,1079,70.66%
2016,8027,Hillary Clinton,Donald J. Trump,797,25.99%,2061,67.22%
2016,8029,Hillary Clinton,Donald J. Trump,4087,24.34%,11655,69.42%
2016,8031,Hillary Clinton,Donald J. Trump,244551,73.69%,62690,18.89%
2016,8033,Hillary Clinton,Donald J. Trump,242,19.28%,944,75.22%
2016,8035,Hillary Clinton,Donald J. Trump,68657,36.62%,102573,54.71%
2016,8037,Hillary Clinton,Donald J. Trump,14099,55.90%,8990,35.64%
2016,8039,Hillary Clinton,Donald J. Trump,3134,19.61%,11705,73.25%
2016,8041,Hillary Clinton,Donald J. Trump,108010,33.86%,179228,56.19%
2016,8043,Hillary Clinton,Donald J. Trump,5297,24.11%,15122,68.82%
2016,8045,Hillary Clinton,Donald J. Trump,11271,42.58%,13132,49.61%
2016,8047,Hillary Clinton,Donald J. Trump,1634,45.69%,1566,43.79%
2016,8049,Hillary Clinton,Donald J. Trump,3358,39.10%,4494,52.33%
2016,8051,Hillary Clinton,Donald J. Trump,5128,54.48%,3289,34.94%
2016,8053,Hillary Clinton,Donald J. Trump,197,33.45%,339,57.56%
2016,8055,Hillary Clinton,Donald J. Trump,1633,43.17%,1883,49.78%
2016,8057,Hillary Clinton,Donald J. Trump,171,19.86%,629,73.05%
2016,8059,Hillary Clinton,Donald J. Trump,160776,48.89%,138177,42.01%
2016,8061,Hillary Clinton,Donald J. Trump,91,10.64%,728,85.15%
2016,8063,Hillary Clinton,Donald J. Trump,536,14.48%,2967,80.15%
