"","year","county","dem","rep","dem_v","dem_s","rep_v","rep_s"
"119",2016,5073,"Hillary Clinton","Donald J. Trump",1032,"36.08%",1758,"61.47%"
"120",2016,5075,"Hillary Clinton","Donald J. Trump",1263,"22.22%",4064,"71.49%"
"121",2016,5077,"Hillary Clinton","Donald J. Trump",1735,"57.34%",1229,"40.61%"
"122",2016,5079,"Hillary Clinton","Donald J. Trump",1252,"32.72%",2455,"64.17%"
"123",2016,5081,"Hillary Clinton","Donald J. Trump",1397,"26.73%",3605,"68.97%"
"124",2016,5083,"Hillary Clinton","Donald J. Trump",1715,"21.65%",5746,"72.54%"
"125",2016,5085,"Hillary Clinton","Donald J. Trump",5664,"20.90%",19958,"73.65%"
"126",2016,5087,"Hillary Clinton","Donald J. Trump",1588,"23.21%",4928,"72.04%"
"127",2016,5089,"Hillary Clinton","Donald J. Trump",1434,"20.18%",5336,"75.08%"
"128",2016,5091,"Hillary Clinton","Donald J. Trump",4273,"26.56%",11294,"70.19%"
"129",2016,5093,"Hillary Clinton","Donald J. Trump",5670,"42.94%",7061,"53.48%"
"130",2016,5095,"Hillary Clinton","Donald J. Trump",1312,"45.49%",1489,"51.63%"
"131",2016,5097,"Hillary Clinton","Donald J. Trump",748,"21.02%",2643,"74.26%"
"132",2016,5099,"Hillary Clinton","Donald J. Trump",1157,"35.64%",2000,"61.61%"
"133",2016,5101,"Hillary Clinton","Donald J. Trump",699,"18.63%",2875,"76.61%"
"134",2016,5103,"Hillary Clinton","Donald J. Trump",4321,"43.49%",5351,"53.86%"
"135",2016,5105,"Hillary Clinton","Donald J. Trump",1049,"24.36%",3008,"69.86%"
"136",2016,5107,"Hillary Clinton","Donald J. Trump",4310,"61.99%",2446,"35.18%"
"137",2016,5109,"Hillary Clinton","Donald J. Trump",685,"17.21%",3150,"79.13%"
"138",2016,5111,"Hillary Clinton","Donald J. Trump",1880,"24.35%",5502,"71.25%"
"139",2016,5113,"Hillary Clinton","Donald J. Trump",1212,"14.72%",6618,"80.40%"
"140",2016,5115,"Hillary Clinton","Donald J. Trump",5000,"22.15%",16256,"72.03%"
"141",2016,5117,"Hillary Clinton","Donald J. Trump",814,"23.64%",2505,"72.74%"
"142",2016,5119,"Hillary Clinton","Donald J. Trump",89574,"56.06%",61257,"38.34%"
"143",2016,5121,"Hillary Clinton","Donald J. Trump",1425,"22.34%",4509,"70.69%"
"144",2016,5123,"Hillary Clinton","Donald J. Trump",4031,"54.25%",3195,"43.00%"
"145",2016,5125,"Hillary Clinton","Donald J. Trump",13256,"25.44%",35863,"68.83%"
"146",2016,5127,"Hillary Clinton","Donald J. Trump",602,"17.15%",2731,"77.81%"
"147",2016,5129,"Hillary Clinton","Donald J. Trump",601,"16.12%",2955,"79.27%"
